id,username,created_at,lng,lat,text
1527345350566363136,xJersh,Thu May 19 17:48:02 +0000 2022,-87.382054,39.457639,Tiger about got annihilated by someone’s drive
1527345350469570560,TheDrop303,Thu May 19 17:48:02 +0000 2022,-104.92209349999999,39.713563,"According to @TMZ , @rihanna and A$AP Rocky are officially parents! https://t.co/H7ndAzJ7kk"
1527345350469558273,MsHallELA,Thu May 19 17:48:02 +0000 2022,-94.807481,38.887769,Senior Walk &amp; Senior Picnic #Classof2022 #ONTEACH #OPSMOMENTSTHATMATTER https://t.co/bv9lPuArDz
1527345353044873231,999BAYHUM,Thu May 19 17:48:03 +0000 2022,-122.5889745,45.630589,@FuntCaseUK From the shadow in the background of the morgue
1527345353539801096,ezswxrld,Thu May 19 17:48:03 +0000 2022,-73.8311875,40.6708795,@stohrmie Best scene in the movie by far. She literally beat him in a mind war😭
1527345353661743104,eleventhjoe,Thu May 19 17:48:03 +0000 2022,-96.8300925,46.8648825,This is what I’m on Twitter for. Silly things and art. Silly art is best.
1527345353472692224,SantaFeAlways,Thu May 19 17:48:03 +0000 2022,-117.104989,32.810012,"SOU F3A 4145 with Train 3, the Royal Palm, waiting to depart from Cincinnati Union Terminal on April 11, 1963.Rog… https://t.co/VhfnVsGUGJ"
1527345354215067648,combinedsewer,Thu May 19 17:48:03 +0000 2022,-73.88159043,40.64129674,Update: watch for combined sewer overflows on Fresh Creek until 7:00 AM tomorrow 🌊
1527345354403827728,karterjanuary,Thu May 19 17:48:03 +0000 2022,-95.44648649999999,29.838495,I’m cool with waiting a lil longer for something I deserve!
1527345355305541632,stjezabell,Thu May 19 17:48:04 +0000 2022,-73.320828,40.881215,@soyeahbasically @ChristianSpoerl You might well be right about that.
1527345355657924616,Flank_Roosevelt,Thu May 19 17:48:04 +0000 2022,-71.4440805,42.971199,@NoraTheSenora @L064N Logan let's play this weekend u dirty thot
1527345355691479055,NMorrison5_91,Thu May 19 17:48:04 +0000 2022,-71.32513449999999,41.9648625,30 hours?! @Marc_Bertrand Jesus god bless you beetle
1527345356056383492,ToonArmySD2,Thu May 19 17:48:04 +0000 2022,-80.18183450000001,38.9201425,"@ToonBano I agree, thin stripes is coming"
1527345356073160715,stevenmnyc,Thu May 19 17:48:04 +0000 2022,-73.8311875,40.6708795,New left field ain’t stopping that 😂
1527345356010246146,RJ_Roque0,Thu May 19 17:48:04 +0000 2022,-81.3517,28.5978,"Just posted a photo @ Winter Park, Florida https://t.co/FZfCDsbgQL"
1527345356542922767,PaddyQuinn915,Thu May 19 17:48:04 +0000 2022,-73.9487755,40.655138,@OLawdy_ 🤣🤣 hey man Whatever It Takes 😎
1527345357725630464,Lomelvs48,Thu May 19 17:48:04 +0000 2022,-71.515665,41.828673,I’m working so you stagnant people. Get out my way
1527345358589743113,GCVMuseum,Thu May 19 17:48:04 +0000 2022,-75.77004099999999,42.746617,Tickets for the #CelticFaire are on sale now! 🏴󠁧󠁢󠁳󠁣󠁴󠁿☘️🇮🇪 🎟: https://t.co/FoSWRv0aP0
1527345359592181770,TommyMitche11,Thu May 19 17:48:05 +0000 2022,-80.2333285,25.7823535,@DKayeCartwright I’m trying DKC DANG!
1527345361010176002,jafwolf,Thu May 19 17:48:05 +0000 2022,-97.9351915,29.8956065,@davidpollack47 Team Nick
1527345362792460288,HittHitt3,Thu May 19 17:48:05 +0000 2022,-112.01768849999999,41.1004905,@samannraven Always  time
1527345363795189761,wordsunspokn,Thu May 19 17:48:06 +0000 2022,-77.0143985,38.898602999999994,@Pretty_Siditty Lmfaoooooo I love you too Lmfaoooooo
1527345364554043404,BrosephSmith808,Thu May 19 17:48:06 +0000 2022,-166.5996925,23.6913645,@KWXX hey theres gonna be a peaceful protest against sexual abuse today at Keaau High School from 1 pm to 1:40 pm.… https://t.co/U9it2A9R7T
1527345366836060160,DavidRHudson,Thu May 19 17:48:06 +0000 2022,-83.804475,27.698681999999998,Biden's policies = gas will hit $6 a gallon this summer and inflation is expected to hit 10% this summer.
1527345367230009344,DestinyKiaraaa,Thu May 19 17:48:06 +0000 2022,-86.793917,33.5422375,"@OMGitsRyan__ A big one , I blocked him as soon as he said that"
1527345367267758103,itsawayoflife10,Thu May 19 17:48:06 +0000 2022,-79.3872,43.648,"Just posted a photo @ Toronto, Ontario https://t.co/eEcbnqAe43"
